id,real_name,hit,rpm,slot,acc,rec,mag,ammo,mod,class,gx,gy,gw,gh,tex
wpn_9a91,9A-91,0.62,700.0,2,0.265,0.5,20.0,9x39_pab9,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,28.0,34.0,4.0,2.0,ui\ui_icon_equipment
wpn_vsk94,VSK-94,0.62,700.0,2,0.245,0.5,20.0,9x39_pab9,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,20.0,28.0,5.0,2.0,ui\ui_icon_equipment
wpn_bizon,PP-19 Bizon,0.46,650.0,2,0.24,0.55,64.0,9x18_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,LMG,1.0,1.0,4.0,2.0,ui\ui_icon_bizon
wpn_kiparis,OTs-02 Kiparis,0.46,850.0,2,0.59,0.48,30.0,9x18_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,44.0,64.0,3.0,2.0,ui\ui_icon_ppp
wpn_mp7,MP7,0.47,950.0,1,0.24,0.8,40.0,9x19_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,SMG/PDW,48.0,61.0,2.0,2.0,ui\mp7_icons
wpn_vz61,Skorpion vz.68,0.46,850.0,2,0.64,0.42,20.0,9x19_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,79.0,77.0,2.0,1.0,ui\ui_icon_ppp
wpn_vz61_camo,Skorpion vz.68,0.46,880.0,2,0.56,0.42,20.0,9x19_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,79.0,79.0,2.0,1.0,ui\ui_icon_ppp
wpn_vz61_alt,Skorpion vz.68,0.46,865.0,2,0.65,0.38,20.0,9x18_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,79.0,80.0,2.0,1.0,ui\ui_icon_ppp
wpn_vz61_freedom,"Skorpion vz.68 ""Freedom""",0.46,913.0,2,0.61,0.42,20.0,9x19_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,79.0,78.0,2.0,1.0,ui\ui_icon_ppp
wpn_vityaz,PP-19 Vityaz-SN,0.47,800.0,2,0.54,0.61,30.0,9x19_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,SMG,0.0,0.0,4.0,2.0,ui\ui_icon_vityaz
wpn_pp2000,PP-2000,0.47,750.0,2,0.53,0.48,30.0,9x19_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,SMG,47.0,59.0,3.0,2.0,ui\ui_icon_ppp
wpn_abakan,AN-94,0.5,600.0,2,0.265,0.545,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,0.0,0.0,5.0,2.0,wpn\wpn_abakan_icon
wpn_abakan_camo,AN-94,0.5,620.0,2,0.24,0.545,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,0.0,2.0,5.0,2.0,wpn\wpn_abakan_icon
wpn_abakan_n,AN-94,0.5,600.0,2,0.265,0.545,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,3.0,10.0,5.0,2.0,ui\ui_icon_bas
wpn_aek,AEK-971,0.5,900.0,2,0.24,0.556,30.0,5.45x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,20.0,12.0,5.0,2.0,ui\ui_icon_equipment
wpn_aek_camo,AEK CAMO,0.585,850.0,2,0.2,0.762,40.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,20.0,14.0,5.0,2.0,ui\ui_icon_equipment
wpn_aek_duty,AEK-973,0.58,900.0,2,0.23,1.05,40.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,35.0,22.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak,AK-47,0.58,600.0,2,0.49,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,25.0,18.0,5.0,2.0,ui\ui_icon_equipment
wpn_aks,AKS-47,0.58,600.0,2,0.49,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,25.0,20.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak101,AK-101,0.5,600.0,2,0.34,0.762,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,35.0,10.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak102,AK-102,0.49,600.0,2,0.35,0.762,30.0,5.56x45_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,20.0,18.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak103,AK-103,0.58,600.0,2,0.39,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,30.0,12.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak103_camo,AK-103,0.58,630.0,2,0.3,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,30.0,14.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak104,AK-104,0.57,600.0,2,0.47,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,20.0,20.0,5.0,2.0,ui\ui_icon_equipment
wpn_ak104_alfa,"AK-104 ""Alpha""",0.57,600.0,2,0.47,0.762,30.0,7.62x39_fmj,1000000012-[OPTIONAL ACTIVATE FOR MAGAZINES] Anomaly Magazines Redux-ravenascendant,Assault Rifle,8.0,18.0,5.0,2.0,ui\ui_icon_bas
